2023-03-24T17:28:24.220439201Z {"level":"info","time":"2023-03-24T17:28:24.220362Z","scope":"citadelclient","msg":"Citadel client using custom root cert: var/run/secrets/istio/root-cert.pem"}
2023-03-24T17:28:24.241292926Z {"level":"info","time":"2023-03-24T17:28:24.241215Z","scope":"ads","msg":"All caches have been synced up in 125.249186ms, marking server ready"}
2023-03-24T17:28:24.241604631Z {"level":"info","time":"2023-03-24T17:28:24.241582Z","scope":"sds","msg":"SDS server for workload certificates started, listening on \"./var/run/secrets/workload-spiffe-uds/socket\""}
2023-03-24T17:28:24.241620802Z {"level":"info","time":"2023-03-24T17:28:24.241613Z","scope":"xdsproxy","msg":"Initializing with upstream address \"istiod-basic.istio-system.svc:15012\" and cluster \"Kubernetes\""}
2023-03-24T17:28:24.241717209Z {"level":"info","time":"2023-03-24T17:28:24.241660Z","scope":"sds","msg":"Starting SDS grpc server"}
2023-03-24T17:28:24.325219441Z {"level":"info","time":"2023-03-24T17:28:24.325163Z","scope":"cache","msg":"generated new workload certificate","latency":83646369,"ttl":86399674845593}
2023-03-24T17:28:24.325274770Z {"level":"info","time":"2023-03-24T17:28:24.325215Z","scope":"cache","msg":"Root cert has changed, start rotating root cert"}
2023-03-24T17:28:24.325274770Z {"level":"info","time":"2023-03-24T17:28:24.325236Z","scope":"ads","msg":"XDS: Incremental Pushing:0 ConnectedEndpoints:0 Version:"}
2023-03-24T17:28:24.325304487Z {"level":"info","time":"2023-03-24T17:28:24.325286Z","scope":"cache","msg":"returned workload trust anchor from cache","ttl":86399674715692}
2023-03-24T17:28:24.325455984Z {"level":"info","time":"2023-03-24T17:28:24.325429Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-24T17:28:24.431199546Z {"level":"info","time":"2023-03-24T17:28:24.431148Z","scope":"ads","msg":"ADS: new connection for node:istio-egressgateway-74b6d5dd78-2tnlx.istio-system-1"}
2023-03-24T17:28:24.431238412Z {"level":"info","time":"2023-03-24T17:28:24.431218Z","scope":"cache","msg":"returned workload trust anchor from cache","ttl":86399568784425}
2023-03-24T17:28:24.431529422Z {"level":"info","time":"2023-03-24T17:28:24.431512Z","scope":"ads","msg":"SDS: PUSH request for node:istio-egressgateway-74b6d5dd78-2tnlx.istio-system resources:1 size:1.1kB resource:ROOTCA"}
2023-03-24T17:28:24.472182145Z {"level":"info","time":"2023-03-24T17:28:24.472138Z","scope":"ads","msg":"ADS: new connection for node:istio-egressgateway-74b6d5dd78-2tnlx.istio-system-2"}
2023-03-24T17:28:24.472255216Z {"level":"info","time":"2023-03-24T17:28:24.472236Z","scope":"cache","msg":"returned workload certificate from cache","ttl":86399527766961}
2023-03-24T17:28:24.472398113Z {"level":"info","time":"2023-03-24T17:28:24.472384Z","scope":"ads","msg":"SDS: PUSH request for node:istio-egressgateway-74b6d5dd78-2tnlx.istio-system resources:1 size:4.0kB resource:default"}
2023-03-24T17:31:51.855157381Z {"level":"info","time":"2023-03-24T17:31:51.855109Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-24T18:01:43.552931928Z {"level":"info","time":"2023-03-24T18:01:43.552886Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-24T18:22:59.958517080Z {"level":"info","time":"2023-03-24T18:22:59.958475Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-24T18:50:11.574942556Z {"level":"info","time":"2023-03-24T18:50:11.574896Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-24T19:22:18.884011955Z {"level":"info","time":"2023-03-24T19:22:18.883967Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-24T19:53:07.283436120Z {"level":"info","time":"2023-03-24T19:53:07.283386Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
